FID,Id,type
0,0,OTH
1,1,RES
2,2,COM
3,3,RES
4,4,COM
5,5,RES
6,6,GRE
7,7,GRE
8,8,RES
9,9,RES
10,10,RES
11,11,RES
12,12,RES
13,13,EDU
14,14,RES
15,15,RES
16,16,RES
17,17,EDU
18,18,TRA
19,19,RES
20,20,RES
21,21,EDU
22,22,EDU
23,23,RES
24,24,COM
25,25,EDU
26,26,COM
27,27,EDU
28,28,COM
29,29,RES
30,30,RES
31,31,RES
32,32,RES
33,33,RES
34,34,EDU
35,35,EDU
36,36,RES
37,37,RES
38,38,EDU
39,39,EDU
40,40,EDU
41,41,COM
42,42,RES
43,43,RES
44,44,RES
45,45,COM
46,46,EDU
47,47,RES
48,48,RES
49,49,EDU
50,50,EDU
51,51,COM
52,52,RES
53,53,COM
54,54,GRE
55,55,RES
56,56,TRA
57,57,TRA
58,58,TRA
59,59,TRA
60,60,RES
61,61,COM
62,62,COM
63,63,RES
64,64,EDU
65,65,EDU
66,66,EDU
67,67,EDU
68,68,COM
69,69,RES
70,70,EDU
71,71,EDU
72,72,GRE
73,73,COM
74,74,RES
75,75,RES
76,76,COM
77,77,RES
78,78,EDU
79,79,RES
80,80,RES
81,81,RES
82,82,COM
83,83,COM
84,84,COM
85,85,COM
86,86,RES
87,87,EDU
88,88,RES
89,89,COM
90,90,EDU
91,91,EDU
92,92,COM
93,93,EDU
94,94,RES
95,95,RES
96,96,RES
97,97,EDU
98,98,COM
99,99,RES
100,100,RES
101,101,RES
102,102,RES
103,103,RES
104,104,COM
105,105,RES
106,106,EDU
107,107,RES
108,108,RES
109,109,RES
110,110,RES
111,111,EDU
112,112,RES
113,113,COM
114,114,COM
115,115,EDU
116,116,OTH
117,117,RES
118,118,RES
119,119,OTH
120,120,RES
121,121,RES
122,122,RES
123,123,EDU
124,124,RES
125,125,RES
126,126,RES
127,127,OTH
128,128,GRE
129,129,RES
130,130,GRE
131,131,OTH
132,132,OTH
133,133,GRE
134,134,OTH
135,135,GRE
136,136,COM
137,137,GRE
138,138,OTH
139,139,GRE
140,140,GRE
141,141,GRE
142,142,GRE
143,143,COM
144,144,RES
145,145,GRE
146,146,OTH
147,147,GRE
148,148,OTH
149,149,GRE
150,150,GRE
151,151,GRE
152,152,OTH
153,153,TRA
154,154,RES
155,155,GRE
156,156,RES
157,157,COM
158,158,RES
159,159,COM
160,160,GRE
161,161,RES
162,162,GRE
163,163,RES
164,164,GRE
165,165,RES
166,166,RES
167,167,RES
168,168,OTH
169,169,RES
170,170,GRE
171,171,OTH
172,172,GRE
173,173,OTH
174,174,GRE
175,175,OTH
176,176,COM
177,177,RES
178,178,RES
179,179,GRE
180,180,RES
181,181,COM
182,182,RES
183,183,GRE
184,184,COM
185,185,GRE
186,186,TRA
187,187,EDU
188,188,GRE
189,189,OTH
190,190,RES
191,191,GRE
192,192,OTH
193,193,RES
194,194,RES
195,195,GRE
196,196,GRE
197,197,EDU
198,198,RES
199,199,RES
200,200,GRE
201,201,RES
202,202,GRE
203,203,OTH
204,204,GRE
205,205,RES
206,206,GRE
207,207,GRE
208,208,EDU
209,209,GRE
210,210,COM
211,211,RES
212,212,OTH
213,213,EDU
214,214,EDU
215,215,RES
216,216,GRE
217,217,GRE
218,218,RES
219,219,RES
220,220,EDU
221,221,GRE
222,222,RES
223,223,GRE
224,224,GRE
225,225,GRE
226,226,GRE
227,227,GRE
228,228,GRE
229,229,GRE
230,230,RES
231,231,RES
232,232,RES
233,233,RES
234,234,GRE
235,235,RES
236,236,GRE
237,237,GRE
238,238,RES
239,239,GRE
240,240,RES
241,241,RES
242,242,GRE
243,243,EDU
244,244,GRE
245,245,GRE
246,246,EDU
247,247,RES
248,248,GRE
249,249,RES
250,250,OTH
251,251,RES
252,252,RES
253,253,RES
254,254,RES
255,255,RES
256,256,TRA
257,257,RES
258,258,EDU
259,259,EDU
260,260,OTH
261,261,GRE
262,262,RES
263,263,RES
264,264,RES
265,265,COM
266,266,GRE
267,267,EDU
268,268,COM
269,269,RES
270,270,RES
271,271,RES
272,272,RES
273,273,OTH
274,274,RES
275,275,GRE
276,276,OTH
277,277,RES
278,278,GRE
279,279,TRA
280,280,GRE
281,281,RES
282,282,RES
283,283,RES
284,284,GRE
285,285,RES
286,286,EDU
287,287,RES
288,288,RES
289,289,RES
290,290,EDU
291,291,RES
292,292,EDU
293,293,EDU
294,294,RES
295,295,RES
296,296,RES
297,297,RES
298,298,RES
299,299,EDU
300,300,RES
301,301,COM
302,302,COM
303,303,COM
304,304,COM
305,305,GRE
306,306,GRE
307,307,COM
308,308,GRE
309,309,RES
310,310,COM
311,311,GRE
312,312,RES
313,313,GRE
314,314,RES
315,315,OTH
316,316,GRE
317,317,GRE
318,318,GRE
319,319,GRE
320,320,RES
321,321,COM
322,322,RES
323,323,COM
324,324,GRE
325,325,RES
326,326,COM
327,327,GRE
328,328,EDU
329,329,RES
330,330,COM
331,331,RES
332,332,COM
333,333,EDU
334,334,RES
335,335,EDU
336,336,RES
337,337,COM
338,338,RES
339,339,RES
340,340,COM
341,341,RES
342,342,GRE
343,343,RES
344,344,EDU
345,345,EDU
346,346,COM
347,347,EDU
348,348,RES
349,349,EDU
350,350,EDU
351,351,EDU
352,352,EDU
353,353,EDU
354,354,EDU
355,355,EDU
356,356,RES
357,357,EDU
358,358,RES
359,359,RES
360,360,COM
361,361,EDU
362,362,RES
363,363,COM
364,364,EDU
365,365,COM
366,366,COM
367,367,COM
368,368,EDU
369,369,COM
370,370,RES
371,371,EDU
372,372,EDU
373,373,COM
374,374,COM
375,375,EDU
376,376,EDU
377,377,EDU
378,378,COM
379,379,COM
380,380,COM
381,381,OTH
382,382,COM
383,383,TRA
384,384,RES
385,385,COM
386,386,EDU
387,387,EDU
388,388,EDU
389,389,EDU
390,390,EDU
391,391,EDU
392,392,COM
393,393,EDU
394,394,EDU
395,395,EDU
396,396,EDU
397,397,EDU
398,398,RES
399,399,RES
400,400,RES
401,401,RES
402,402,RES
403,403,EDU
404,404,EDU
405,405,COM
406,406,RES
407,407,EDU
408,408,EDU
409,409,RES
410,410,RES
411,411,RES
412,412,RES
413,413,EDU
414,414,EDU
415,415,EDU
416,416,RES
417,417,COM
418,418,EDU
419,419,RES
420,420,RES
421,421,EDU
422,422,RES
423,423,COM
424,424,EDU
425,425,RES
426,426,GRE
427,427,RES
428,428,OTH
429,429,EDU
430,430,RES
431,431,EDU
432,432,EDU
433,433,RES
434,434,EDU
435,435,RES
436,436,RES
437,437,RES
438,438,EDU
439,439,EDU
440,440,RES
441,441,COM
442,442,EDU
443,443,EDU
444,444,EDU
445,445,RES
446,446,RES
447,447,COM
448,448,EDU
449,449,RES
450,450,RES
451,451,RES
452,452,EDU
453,453,OTH
454,454,RES
455,455,EDU
456,456,RES
457,457,RES
458,458,GRE
459,459,RES
460,460,RES
461,461,OTH
462,462,EDU
463,463,RES
464,464,RES
465,465,EDU
466,466,GRE
467,467,GRE
468,468,GRE
469,469,RES
470,470,GRE
471,471,GRE
472,472,GRE
473,473,RES
474,474,GRE
475,475,GRE
476,476,OTH
477,477,GRE
478,478,OTH
479,479,GRE
480,480,GRE
481,481,GRE
482,482,GRE
483,483,RES
484,484,EDU
485,485,EDU
486,486,GRE
487,487,RES
488,488,OTH
489,489,OTH
490,490,RES
491,491,EDU
492,492,GRE
493,493,GRE
494,494,RES
495,495,GRE
496,496,GRE
497,497,RES
498,498,EDU
499,499,RES
500,500,EDU
501,501,RES
502,502,COM
503,503,GRE
504,504,RES
505,505,RES
506,506,RES
507,507,EDU
508,508,GRE
509,509,GRE
510,510,GRE
511,511,GRE
512,512,GRE
513,513,RES
514,514,GRE
515,515,GRE
516,516,EDU
517,517,COM
518,518,RES
519,519,COM
520,520,EDU
521,521,GRE
522,522,EDU
523,523,EDU
524,524,EDU
525,525,EDU
526,526,OTH
527,527,GRE
528,528,GRE
529,529,GRE
530,530,GRE
531,531,TRA
532,532,GRE
533,533,EDU
534,534,EDU
535,535,EDU
536,536,EDU
537,537,RES
538,538,RES
539,539,EDU
540,540,RES
541,541,RES
542,542,EDU
543,543,GRE
544,544,GRE
545,545,GRE
546,546,RES
547,547,COM
548,548,COM
549,549,RES
550,550,EDU
551,551,EDU
552,552,EDU
553,553,EDU
554,554,EDU
555,555,EDU
556,556,EDU
557,557,RES
558,558,EDU
559,559,RES
560,560,EDU
561,561,EDU
562,562,RES
563,563,GRE
564,564,RES
565,565,RES
566,566,RES
567,567,RES
568,568,EDU
569,569,RES
570,570,RES
571,571,EDU
572,572,RES
573,573,EDU
574,574,RES
575,575,EDU
576,576,RES
577,577,EDU
578,578,EDU
579,579,RES
580,580,RES
581,581,RES
582,582,RES
583,583,RES
584,584,RES
585,585,RES
586,586,RES
587,587,RES
588,588,RES
589,589,RES
590,590,RES
591,591,RES
592,592,RES
593,593,OTH
594,594,RES
595,595,RES
596,596,OTH
597,597,OTH
598,598,EDU
599,599,RES
600,600,RES
601,601,RES
602,602,RES
603,603,EDU
604,604,RES
605,605,COM
606,606,RES
607,607,OTH
608,608,RES
609,609,RES
610,610,RES
611,611,RES
612,612,GRE
613,613,RES
614,614,RES
615,615,RES
616,616,EDU
617,617,OTH
618,618,RES
619,619,EDU
620,620,RES
621,621,OTH
622,622,RES
623,623,EDU
624,624,RES
625,625,RES
626,626,EDU
627,627,RES
628,628,EDU
629,629,RES
630,630,RES
631,631,EDU
632,632,COM
633,633,GRE
634,634,RES
635,635,OTH
636,636,COM
637,637,COM
638,638,COM
639,639,COM
640,640,OTH
641,641,COM
642,642,COM
643,643,COM
644,644,COM
645,645,COM
646,646,OTH
647,647,OTH
648,648,EDU
649,649,COM
650,650,EDU
651,651,GRE
652,652,EDU
653,653,EDU
654,654,RES
655,655,RES
656,656,RES
657,657,RES
658,658,RES
659,659,RES
660,660,RES
661,661,RES
662,662,TRA
663,663,OTH
664,664,EDU
665,665,OTH
666,666,RES
667,667,RES
668,668,RES
669,669,RES
670,670,RES
671,671,RES
672,672,EDU
673,673,EDU
674,674,RES
675,675,RES
676,676,EDU
677,677,EDU
678,678,RES
679,679,RES
680,680,RES
681,681,EDU
682,682,RES
683,683,RES
684,684,RES
685,685,RES
686,686,RES
687,687,RES
688,688,GRE
689,689,GRE
690,690,RES
691,691,RES
692,692,OTH
693,693,OTH
694,694,RES
695,695,OTH
696,696,OTH
697,697,GRE
698,698,RES
699,699,RES
700,700,TRA
701,701,OTH
702,702,COM
703,703,GRE
704,704,OTH
705,705,GRE
706,706,GRE
707,707,COM
708,708,GRE
709,709,COM
710,710,EDU
711,711,RES
712,712,RES
713,713,GRE
